#Size Best Average Worst
1  0.0028 6.0E-4 0.003
101  0.003 3.0E-4 5.0E-4
201  5.0E-4 4.0E-4 5.0E-4
301  0.0016 5.0E-4 6.0E-4
401  7.0E-4 5.0E-4 7.0E-4
501  8.0E-4 5.0E-4 7.0E-4
601  0.0011 8.0E-4 7.0E-4
701  7.0E-4 5.0E-4 6.0E-4
801  8.0E-4 5.0E-4 6.0E-4
901  7.0E-4 4.0E-4 6.0E-4
1001  8.0E-4 5.0E-4 7.0E-4
1101  8.0E-4 6.0E-4 8.0E-4
1201  0.0013 6.0E-4 8.0E-4
1301  0.0013 7.0E-4 0.0156
1401  6.0E-4 7.0E-4 0.016
1501  6.0E-4 7.0E-4 7.0E-4
1601  7.0E-4 6.0E-4 7.0E-4
1701  9.0E-4 7.0E-4 0.0018
1801  5.0E-4 4.0E-4 6.0E-4
1901  6.0E-4 5.0E-4 5.0E-4
2001  4.0E-4 7.0E-4 6.0E-4
2101  5.0E-4 5.0E-4 5.0E-4
2201  4.0E-4 4.0E-4 6.0E-4
2301  4.0E-4 4.0E-4 6.0E-4
2401  5.0E-4 6.0E-4 7.0E-4
2501  8.0E-4 6.0E-4 6.0E-4
2601  7.0E-4 5.0E-4 6.0E-4
2701  6.0E-4 6.0E-4 7.0E-4
2801  6.0E-4 6.0E-4 7.0E-4
2901  5.0E-4 5.0E-4 6.0E-4
3001  4.0E-4 5.0E-4 6.0E-4
3101  5.0E-4 5.0E-4 7.0E-4
3201  4.0E-4 4.0E-4 5.0E-4
3301  3.0E-4 5.0E-4 5.0E-4
3401  9.0E-4 7.0E-4 9.0E-4
3501  9.0E-4 0.0191 7.0E-4
3601  0.0011 5.0E-4 7.0E-4
3701  9.0E-4 5.0E-4 6.0E-4
3801  0.0017 7.0E-4 9.0E-4
3901  9.0E-4 6.0E-4 0.0033
4001  8.0E-4 5.0E-4 8.0E-4
4101  0.0013 0.0014 0.0011
4201  5.0E-4 5.0E-4 0.0011
4301  0.004 6.0E-4 9.0E-4
4401  6.0E-4 5.0E-4 7.0E-4
4501  8.0E-4 6.0E-4 9.0E-4
4601  9.0E-4 7.0E-4 0.0031
4701  7.0E-4 6.0E-4 8.0E-4
4801  7.0E-4 5.0E-4 7.0E-4
4901  5.0E-4 5.0E-4 4.0E-4
5001  4.0E-4 5.0E-4 0.0025
5101  8.0E-4 7.0E-4 8.0E-4
5201  5.0E-4 5.0E-4 7.0E-4
5301  4.0E-4 4.0E-4 7.0E-4
5401  5.0E-4 6.0E-4 7.0E-4
5501  6.0E-4 5.0E-4 6.0E-4
5601  4.0E-4 5.0E-4 5.0E-4
5701  6.0E-4 0.0011 9.0E-4
5801  5.0E-4 5.0E-4 6.0E-4
5901  8.0E-4 6.0E-4 7.0E-4
6001  0.001 8.0E-4 4.0E-4
6101  0.0016 0.0019 0.001
6201  0.0026 8.0E-4 0.0015
6301  0.0017 7.0E-4 0.001
6401  0.001 7.0E-4 0.001
6501  7.0E-4 5.0E-4 7.0E-4
6601  7.0E-4 0.001 4.0E-4
6701  9.0E-4 6.0E-4 0.001
6801  6.0E-4 7.0E-4 7.0E-4
6901  9.0E-4 5.0E-4 8.0E-4
7001  0.0028 5.0E-4 8.0E-4
7101  0.001 8.0E-4 0.001
7201  7.0E-4 5.0E-4 7.0E-4
7301  7.0E-4 5.0E-4 7.0E-4
7401  0.0017 8.0E-4 0.0014
7501  0.0011 9.0E-4 0.001
7601  9.0E-4 7.0E-4 9.0E-4
7701  8.0E-4 5.0E-4 5.0E-4
7801  0.0011 0.0031 0.0051
7901  0.0032 5.0E-4 7.0E-4
8001  0.001 5.0E-4 8.0E-4
8101  7.0E-4 5.0E-4 7.0E-4
8201  5.0E-4 6.0E-4 6.0E-4
8301  4.0E-4 6.0E-4 6.0E-4
8401  5.0E-4 5.0E-4 8.0E-4
8501  0.0015 5.0E-4 7.0E-4
8601  0.0092 2.0E-4 3.0E-4
8701  1.0E-4 2.0E-4 1.0E-4
8801  1.0E-4 2.0E-4 1.0E-4
8901  1.0E-4 1.0E-4 2.0E-4
9001  1.0E-4 2.0E-4 3.0E-4
9101  0.0 2.0E-4 1.0E-4
9201  0.0 2.0E-4 1.0E-4
9301  1.0E-4 2.0E-4 2.0E-4
9401  1.0E-4 1.0E-4 2.0E-4
9501  1.0E-4 2.0E-4 0.0
9601  2.0E-4 3.0E-4 3.0E-4
9701  3.0E-4 3.0E-4 2.0E-4
9801  3.0E-4 2.0E-4 2.0E-4
9901  4.0E-4 6.0E-4 3.0E-4
