#size best average worst
100 1 12 101
200 1 149 201
300 1 7 301
400 1 222 401
500 1 337 501
600 1 251 601
700 1 34 701
800 1 622 801
900 1 353 901
1000 1 588 1001
1100 1 483 1101
1200 1 222 1201
1300 1 459 1301
1400 1 634 1401
1500 1 90 1501
1600 1 612 1601
1700 1 703 1701
1800 1 254 1801
1900 1 1431 1901
2000 1 385 2001
2100 1 2 2101
2200 1 831 2201
2300 1 759 2301
2400 1 84 2401
2500 1 311 2501
2600 1 1347 2601
2700 1 1129 2701
2800 1 447 2801
2900 1 75 2901
3000 1 1553 3001
3100 1 535 3101
3200 1 626 3201
3300 1 555 3301
3400 1 1109 3401
3500 1 19 3501
3600 1 228 3601
3700 1 179 3701
3800 1 109 3801
3900 1 75 3901
4000 1 466 4001
4100 1 1847 4101
4200 1 107 4201
4300 1 597 4301
4400 1 65 4401
4500 1 16 4501
4600 1 638 4601
4700 1 107 4701
4800 1 1889 4801
4900 1 492 4901
5000 1 2053 5001
5100 1 133 5101
5200 1 31 5201
5300 1 1141 5301
5400 1 1104 5401
5500 1 2774 5501
5600 1 573 5601
5700 1 249 5701
5800 1 38 5801
5900 1 126 5901
6000 1 164 6001
6100 1 1331 6101
6200 1 17 6201
6300 1 70 6301
6400 1 1394 6401
6500 1 313 6501
6600 1 2536 6601
6700 1 215 6701
6800 1 353 6801
6900 1 822 6901
7000 1 547 7001
7100 1 503 7101
7200 1 170 7201
7300 1 247 7301
7400 1 118 7401
7500 1 625 7501
7600 1 140 7601
7700 1 133 7701
7800 1 506 7801
7900 1 1221 7901
8000 1 343 8001
8100 1 537 8101
8200 1 1376 8201
8300 1 238 8301
8400 1 551 8401
8500 1 2074 8501
8600 1 97 8601
8700 1 175 8701
8800 1 2628 8801
8900 1 716 8901
9000 1 651 9001
9100 1 2 9101
9200 1 493 9201
9300 1 268 9301
9400 1 2191 9401
9500 1 855 9501
9600 1 2016 9601
9700 1 1453 9701
9800 1 2179 9801
9900 1 869 9901
10000 1 542 10001
